"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6039","Registration with various data: chromium-sql_injection_data","tests","2026-06-19","failed","2026-06-19","TestRegistration","test_registration","",""
"","11465","Registration with various data: chromium-invalid_data","tests","2026-06-19","failed","2026-06-19","TestRegistration","test_registration","",""
"","5695","Registration with various data: chromium-empty_data","tests","2026-06-19","passed","2026-06-19","TestRegistration","test_registration","",""
"","4752","Registration with various data: chromium-max_count","tests","2026-06-19","passed","2026-06-19","TestRegistration","test_registration","",""
"","7763","Registration with various data: chromium-cross_script_data","tests","2026-06-19","failed","2026-06-19","TestRegistration","test_registration","",""
"","3096","Registration with correct data and without user agreement","tests","2026-06-19","passed","2026-06-19","TestRegistration","test_registration","",""
"","5602","Registration with various data: chromium-max_count_and_one","tests","2026-06-19","passed","2026-06-19","TestRegistration","test_registration","",""
"","5970","Registration with various data: chromium-hebrew_data","tests","2026-06-19","passed","2026-06-19","TestRegistration","test_registration","",""
"","4733","Registration with various data: chromium-with_space_data","tests","2026-06-19","passed","2026-06-19","TestRegistration","test_registration","",""
"","7437","Registration with various data: chromium-with_hyphen","tests","2026-06-19","passed","2026-06-19","TestRegistration","test_registration","",""
"","6055","Registration with various data: chromium-with_max_number","tests","2026-06-19","passed","2026-06-19","TestRegistration","test_registration","",""
