"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4244","Registration with various data: chromium-with_hyphen","tests","Tue Dec 09 01:59:00 UTC 2025","passed","Tue Dec 09 01:59:05 UTC 2025","TestRegistration","test_registration","",""
"","6332","Registration with various data: chromium-hebrew_data","tests","Tue Dec 09 01:58:33 UTC 2025","passed","Tue Dec 09 01:58:40 UTC 2025","TestRegistration","test_registration","",""
"","5501","Registration with various data: chromium-max_count","tests","Tue Dec 09 01:58:37 UTC 2025","passed","Tue Dec 09 01:58:42 UTC 2025","TestRegistration","test_registration","",""
"","5434","Registration with various data: chromium-max_count_and_one","tests","Tue Dec 09 01:58:34 UTC 2025","passed","Tue Dec 09 01:58:40 UTC 2025","TestRegistration","test_registration","",""
"","9639","Registration with various data: chromium-cross_script_data","tests","Tue Dec 09 01:58:59 UTC 2025","failed","Tue Dec 09 01:59:08 UTC 2025","TestRegistration","test_registration","",""
"","3342","Registration with correct data and without user agreement","tests","Tue Dec 09 01:59:05 UTC 2025","passed","Tue Dec 09 01:59:08 UTC 2025","TestRegistration","test_registration","",""
"","6773","Registration with various data: chromium-sql_injection_data","tests","Tue Dec 09 01:59:15 UTC 2025","failed","Tue Dec 09 01:59:22 UTC 2025","TestRegistration","test_registration","",""
"","3640","Registration with various data: chromium-with_max_number","tests","Tue Dec 09 01:59:04 UTC 2025","passed","Tue Dec 09 01:59:07 UTC 2025","TestRegistration","test_registration","",""
"","3232","Registration with various data: chromium-with_space_data","tests","Tue Dec 09 01:58:42 UTC 2025","passed","Tue Dec 09 01:58:45 UTC 2025","TestRegistration","test_registration","",""
"","3387","Registration with various data: chromium-empty_data","tests","Tue Dec 09 01:59:09 UTC 2025","passed","Tue Dec 09 01:59:12 UTC 2025","TestRegistration","test_registration","",""
"","11553","Registration with various data: chromium-invalid_data","tests","Tue Dec 09 01:58:34 UTC 2025","failed","Tue Dec 09 01:58:46 UTC 2025","TestRegistration","test_registration","",""
