"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2979","Registration with various data: chromium-with_max_number","tests","Wed May 20 04:03:35 UTC 2026","passed","Wed May 20 04:03:38 UTC 2026","TestRegistration","test_registration","",""
"","8709","Registration with various data: chromium-invalid_data","tests","Wed May 20 04:02:55 UTC 2026","failed","Wed May 20 04:03:04 UTC 2026","TestRegistration","test_registration","",""
"","2020","Registration with various data: chromium-max_count","tests","Wed May 20 04:03:39 UTC 2026","passed","Wed May 20 04:03:41 UTC 2026","TestRegistration","test_registration","",""
"","0","test_registration_with_max_count_data_and_one[chromium-with_hyphen]","tests","Wed May 20 04:02:01 UTC 2026","broken","Wed May 20 04:02:01 UTC 2026","TestRegistration","test_registration","",""
"","0","test_registration_with_special_characters[chromium-hebrew_data]","tests","Wed May 20 04:02:01 UTC 2026","broken","Wed May 20 04:02:01 UTC 2026","TestRegistration","test_registration","",""
"","1911","Registration with various data: chromium-with_space_data","tests","Wed May 20 04:03:51 UTC 2026","passed","Wed May 20 04:03:53 UTC 2026","TestRegistration","test_registration","",""
"","4912","Registration with various data: chromium-max_count_and_one","tests","Wed May 20 04:02:33 UTC 2026","passed","Wed May 20 04:02:38 UTC 2026","TestRegistration","test_registration","",""
"","6068","Registration with various data: chromium-sql_injection_data","tests","Wed May 20 04:04:13 UTC 2026","failed","Wed May 20 04:04:19 UTC 2026","TestRegistration","test_registration","",""
"","5017","Registration with various data: chromium-empty_data","tests","Wed May 20 04:03:18 UTC 2026","passed","Wed May 20 04:03:23 UTC 2026","TestRegistration","test_registration","",""
"","682","Registration with correct data and without user agreement","tests","Wed May 20 04:03:42 UTC 2026","passed","Wed May 20 04:03:42 UTC 2026","TestRegistration","test_registration","",""
"","8635","Registration with various data: chromium-cross_script_data","tests","Wed May 20 04:02:57 UTC 2026","failed","Wed May 20 04:03:06 UTC 2026","TestRegistration","test_registration","",""
