"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7469","Registration with various data: chromium-cross_script_data","tests","Sat Jan 11 01:40:28 GMT 2025","passed","Sat Jan 11 01:40:35 GMT 2025","TestRegistration","test_registration","",""
"","9430","Registration with various data: chromium-invalid_data","tests","Sat Jan 11 01:39:57 GMT 2025","passed","Sat Jan 11 01:40:07 GMT 2025","TestRegistration","test_registration","",""
"","8644","Registration with various data: chromium-max_count_and_one","tests","Sat Jan 11 01:39:58 GMT 2025","passed","Sat Jan 11 01:40:06 GMT 2025","TestRegistration","test_registration","",""
"","7410","Registration with various data: chromium-with_space_data","tests","Sat Jan 11 01:39:59 GMT 2025","passed","Sat Jan 11 01:40:06 GMT 2025","TestRegistration","test_registration","",""
"","5925","Registration with various data: chromium-with_max_number","tests","Sat Jan 11 01:40:31 GMT 2025","passed","Sat Jan 11 01:40:37 GMT 2025","TestRegistration","test_registration","",""
"","5763","Registration with various data: chromium-empty_data","tests","Sat Jan 11 01:40:28 GMT 2025","passed","Sat Jan 11 01:40:34 GMT 2025","TestRegistration","test_registration","",""
"","4735","Registration with correct data and without user agreement","tests","Sat Jan 11 01:40:27 GMT 2025","passed","Sat Jan 11 01:40:32 GMT 2025","TestRegistration","test_registration","",""
"","7081","Registration with various data: chromium-with_hyphen","tests","Sat Jan 11 01:40:29 GMT 2025","passed","Sat Jan 11 01:40:36 GMT 2025","TestRegistration","test_registration","",""
"","759","Registration with various data: chromium-sql_injection_data","tests","Sat Jan 11 01:40:42 GMT 2025","passed","Sat Jan 11 01:40:43 GMT 2025","TestRegistration","test_registration","",""
"","8166","Registration with various data: chromium-hebrew_data","tests","Sat Jan 11 01:39:58 GMT 2025","passed","Sat Jan 11 01:40:06 GMT 2025","TestRegistration","test_registration","",""
"","7947","Registration with various data: chromium-max_count","tests","Sat Jan 11 01:39:58 GMT 2025","passed","Sat Jan 11 01:40:06 GMT 2025","TestRegistration","test_registration","",""
