"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6718","Registration with various data: chromium-sql_injection_data","tests","Sat Nov 29 01:53:32 UTC 2025","failed","Sat Nov 29 01:53:39 UTC 2025","TestRegistration","test_registration","",""
"","5799","Registration with various data: chromium-max_count","tests","Sat Nov 29 01:52:47 UTC 2025","passed","Sat Nov 29 01:52:53 UTC 2025","TestRegistration","test_registration","",""
"","9249","Registration with various data: chromium-cross_script_data","tests","Sat Nov 29 01:53:13 UTC 2025","failed","Sat Nov 29 01:53:22 UTC 2025","TestRegistration","test_registration","",""
"","1789","Registration with various data: chromium-empty_data","tests","Sat Nov 29 01:53:19 UTC 2025","passed","Sat Nov 29 01:53:20 UTC 2025","TestRegistration","test_registration","",""
"","11295","Registration with various data: chromium-invalid_data","tests","Sat Nov 29 01:52:46 UTC 2025","failed","Sat Nov 29 01:52:57 UTC 2025","TestRegistration","test_registration","",""
"","7223","Registration with various data: chromium-hebrew_data","tests","Sat Nov 29 01:52:45 UTC 2025","passed","Sat Nov 29 01:52:52 UTC 2025","TestRegistration","test_registration","",""
"","5899","Registration with various data: chromium-with_space_data","tests","Sat Nov 29 01:52:47 UTC 2025","passed","Sat Nov 29 01:52:53 UTC 2025","TestRegistration","test_registration","",""
"","3615","Registration with correct data and without user agreement","tests","Sat Nov 29 01:53:13 UTC 2025","passed","Sat Nov 29 01:53:17 UTC 2025","TestRegistration","test_registration","",""
"","4266","Registration with various data: chromium-with_hyphen","tests","Sat Nov 29 01:53:13 UTC 2025","passed","Sat Nov 29 01:53:18 UTC 2025","TestRegistration","test_registration","",""
"","4780","Registration with various data: chromium-with_max_number","tests","Sat Nov 29 01:53:12 UTC 2025","passed","Sat Nov 29 01:53:17 UTC 2025","TestRegistration","test_registration","",""
"","6257","Registration with various data: chromium-max_count_and_one","tests","Sat Nov 29 01:52:47 UTC 2025","passed","Sat Nov 29 01:52:53 UTC 2025","TestRegistration","test_registration","",""
