"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5334","Registration with various data: chromium-hebrew_data","tests","2026-09-19","passed","2026-09-19","TestRegistration","test_registration","",""
"","3747","Registration with various data: chromium-max_count","tests","2026-09-19","passed","2026-09-19","TestRegistration","test_registration","",""
"","3588","Registration with various data: chromium-empty_data","tests","2026-09-19","passed","2026-09-19","TestRegistration","test_registration","",""
"","5307","Registration with various data: chromium-max_count_and_one","tests","2026-09-19","passed","2026-09-19","TestRegistration","test_registration","",""
"","1933","Registration with various data: chromium-with_space_data","tests","2026-09-19","passed","2026-09-19","TestRegistration","test_registration","",""
"","592","Registration with correct data and without user agreement","tests","2026-09-19","passed","2026-09-19","TestRegistration","test_registration","",""
"","2343","Registration with various data: chromium-with_max_number","tests","2026-09-19","passed","2026-09-19","TestRegistration","test_registration","",""
"","4681","Registration with various data: chromium-with_hyphen","tests","2026-09-19","passed","2026-09-19","TestRegistration","test_registration","",""
"","5963","Registration with various data: chromium-sql_injection_data","tests","2026-09-19","failed","2026-09-19","TestRegistration","test_registration","",""
"","8718","Registration with various data: chromium-invalid_data","tests","2026-09-19","failed","2026-09-19","TestRegistration","test_registration","",""
"","10201","Registration with various data: chromium-cross_script_data","tests","2026-09-19","failed","2026-09-19","TestRegistration","test_registration","",""
