"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5251","Registration with various data: chromium-with_max_number","tests","Thu Nov 28 01:46:52 GMT 2024","passed","Thu Nov 28 01:46:57 GMT 2024","TestRegistration","test_registration","",""
"","7441","Registration with various data: chromium-with_space_data","tests","Thu Nov 28 01:46:20 GMT 2024","passed","Thu Nov 28 01:46:28 GMT 2024","TestRegistration","test_registration","",""
"","7904","Registration with various data: chromium-max_count_and_one","tests","Thu Nov 28 01:46:20 GMT 2024","passed","Thu Nov 28 01:46:27 GMT 2024","TestRegistration","test_registration","",""
"","5656","Registration with various data: chromium-invalid_data","tests","Thu Nov 28 01:46:24 GMT 2024","passed","Thu Nov 28 01:46:30 GMT 2024","TestRegistration","test_registration","",""
"","5056","Registration with various data: chromium-with_hyphen","tests","Thu Nov 28 01:46:52 GMT 2024","passed","Thu Nov 28 01:46:57 GMT 2024","TestRegistration","test_registration","",""
"","6686","Registration with various data: chromium-empty_data","tests","Thu Nov 28 01:46:50 GMT 2024","passed","Thu Nov 28 01:46:56 GMT 2024","TestRegistration","test_registration","",""
"","7096","Registration with various data: chromium-cross_script_data","tests","Thu Nov 28 01:46:50 GMT 2024","passed","Thu Nov 28 01:46:57 GMT 2024","TestRegistration","test_registration","",""
"","6632","Registration with various data: chromium-max_count","tests","Thu Nov 28 01:46:22 GMT 2024","passed","Thu Nov 28 01:46:28 GMT 2024","TestRegistration","test_registration","",""
"","6059","Registration with correct data and without user agreement","tests","Thu Nov 28 01:46:48 GMT 2024","passed","Thu Nov 28 01:46:54 GMT 2024","TestRegistration","test_registration","",""
"","6719","Registration with various data: chromium-hebrew_data","tests","Thu Nov 28 01:46:22 GMT 2024","passed","Thu Nov 28 01:46:29 GMT 2024","TestRegistration","test_registration","",""
"","1434","Registration with various data: chromium-sql_injection_data","tests","Thu Nov 28 01:47:06 GMT 2024","passed","Thu Nov 28 01:47:08 GMT 2024","TestRegistration","test_registration","",""
