"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3434","Registration with correct data and without user agreement","tests","Sun Sep 14 01:51:40 UTC 2025","passed","Sun Sep 14 01:51:44 UTC 2025","TestRegistration","test_registration","",""
"","5923","Registration with various data: chromium-max_count","tests","Sun Sep 14 01:51:09 UTC 2025","passed","Sun Sep 14 01:51:15 UTC 2025","TestRegistration","test_registration","",""
"","4143","Registration with various data: chromium-with_hyphen","tests","Sun Sep 14 01:51:40 UTC 2025","passed","Sun Sep 14 01:51:44 UTC 2025","TestRegistration","test_registration","",""
"","4826","Registration with various data: chromium-with_space_data","tests","Sun Sep 14 01:51:14 UTC 2025","passed","Sun Sep 14 01:51:19 UTC 2025","TestRegistration","test_registration","",""
"","3261","Registration with various data: chromium-empty_data","tests","Sun Sep 14 01:51:41 UTC 2025","passed","Sun Sep 14 01:51:45 UTC 2025","TestRegistration","test_registration","",""
"","4401","Registration with various data: chromium-with_max_number","tests","Sun Sep 14 01:51:36 UTC 2025","passed","Sun Sep 14 01:51:40 UTC 2025","TestRegistration","test_registration","",""
"","5683","Registration with various data: chromium-hebrew_data","tests","Sun Sep 14 01:51:09 UTC 2025","passed","Sun Sep 14 01:51:14 UTC 2025","TestRegistration","test_registration","",""
"","7191","Registration with various data: chromium-sql_injection_data","tests","Sun Sep 14 01:51:51 UTC 2025","failed","Sun Sep 14 01:51:58 UTC 2025","TestRegistration","test_registration","",""
"","10586","Registration with various data: chromium-invalid_data","tests","Sun Sep 14 01:51:09 UTC 2025","failed","Sun Sep 14 01:51:20 UTC 2025","TestRegistration","test_registration","",""
"","6187","Registration with various data: chromium-max_count_and_one","tests","Sun Sep 14 01:51:12 UTC 2025","passed","Sun Sep 14 01:51:19 UTC 2025","TestRegistration","test_registration","",""
"","9627","Registration with various data: chromium-cross_script_data","tests","Sun Sep 14 01:51:34 UTC 2025","failed","Sun Sep 14 01:51:43 UTC 2025","TestRegistration","test_registration","",""
