"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5440","Registration with various data: chromium-with_space_data","tests","Mon Feb 23 02:41:26 UTC 2026","passed","Mon Feb 23 02:41:32 UTC 2026","TestRegistration","test_registration","",""
"","7031","Registration with various data: chromium-hebrew_data","tests","Mon Feb 23 02:40:53 UTC 2026","passed","Mon Feb 23 02:41:00 UTC 2026","TestRegistration","test_registration","",""
"","5006","Registration with various data: chromium-max_count_and_one","tests","Mon Feb 23 02:40:56 UTC 2026","passed","Mon Feb 23 02:41:01 UTC 2026","TestRegistration","test_registration","",""
"","12292","Registration with various data: chromium-invalid_data","tests","Mon Feb 23 02:40:52 UTC 2026","failed","Mon Feb 23 02:41:04 UTC 2026","TestRegistration","test_registration","",""
"","6855","Registration with various data: chromium-max_count","tests","Mon Feb 23 02:41:23 UTC 2026","passed","Mon Feb 23 02:41:30 UTC 2026","TestRegistration","test_registration","",""
"","6116","Registration with various data: chromium-sql_injection_data","tests","Mon Feb 23 02:41:40 UTC 2026","failed","Mon Feb 23 02:41:46 UTC 2026","TestRegistration","test_registration","",""
"","6608","Registration with correct data and without user agreement","tests","Mon Feb 23 02:41:24 UTC 2026","passed","Mon Feb 23 02:41:31 UTC 2026","TestRegistration","test_registration","",""
"","6295","Registration with various data: chromium-with_hyphen","tests","Mon Feb 23 02:40:52 UTC 2026","passed","Mon Feb 23 02:40:58 UTC 2026","TestRegistration","test_registration","",""
"","7884","Registration with various data: chromium-empty_data","tests","Mon Feb 23 02:41:23 UTC 2026","passed","Mon Feb 23 02:41:31 UTC 2026","TestRegistration","test_registration","",""
"","6231","Registration with various data: chromium-with_max_number","tests","Mon Feb 23 02:41:22 UTC 2026","passed","Mon Feb 23 02:41:28 UTC 2026","TestRegistration","test_registration","",""
"","12225","Registration with various data: chromium-cross_script_data","tests","Mon Feb 23 02:40:53 UTC 2026","failed","Mon Feb 23 02:41:05 UTC 2026","TestRegistration","test_registration","",""
