"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6321","Registration with various data: chromium-hebrew_data","tests","Sun Aug 24 02:02:39 UTC 2025","passed","Sun Aug 24 02:02:46 UTC 2025","TestRegistration","test_registration","",""
"","7586","Registration with various data: chromium-sql_injection_data","tests","Sun Aug 24 02:03:25 UTC 2025","failed","Sun Aug 24 02:03:32 UTC 2025","TestRegistration","test_registration","",""
"","5790","Registration with various data: chromium-with_space_data","tests","Sun Aug 24 02:02:41 UTC 2025","passed","Sun Aug 24 02:02:47 UTC 2025","TestRegistration","test_registration","",""
"","4158","Registration with correct data and without user agreement","tests","Sun Aug 24 02:03:05 UTC 2025","passed","Sun Aug 24 02:03:09 UTC 2025","TestRegistration","test_registration","",""
"","2290","Registration with various data: chromium-empty_data","tests","Sun Aug 24 02:03:13 UTC 2025","passed","Sun Aug 24 02:03:15 UTC 2025","TestRegistration","test_registration","",""
"","11033","Registration with various data: chromium-invalid_data","tests","Sun Aug 24 02:02:40 UTC 2025","failed","Sun Aug 24 02:02:51 UTC 2025","TestRegistration","test_registration","",""
"","7193","Registration with various data: chromium-max_count_and_one","tests","Sun Aug 24 02:02:41 UTC 2025","passed","Sun Aug 24 02:02:48 UTC 2025","TestRegistration","test_registration","",""
"","11077","Registration with various data: chromium-cross_script_data","tests","Sun Aug 24 02:03:08 UTC 2025","failed","Sun Aug 24 02:03:19 UTC 2025","TestRegistration","test_registration","",""
"","4578","Registration with various data: chromium-with_hyphen","tests","Sun Aug 24 02:03:10 UTC 2025","passed","Sun Aug 24 02:03:14 UTC 2025","TestRegistration","test_registration","",""
"","6877","Registration with various data: chromium-max_count","tests","Sun Aug 24 02:02:40 UTC 2025","passed","Sun Aug 24 02:02:47 UTC 2025","TestRegistration","test_registration","",""
"","3805","Registration with various data: chromium-with_max_number","tests","Sun Aug 24 02:03:09 UTC 2025","passed","Sun Aug 24 02:03:13 UTC 2025","TestRegistration","test_registration","",""
