"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11268","Registration with various data: chromium-invalid_data","tests","Fri Oct 03 01:44:23 UTC 2025","failed","Fri Oct 03 01:44:34 UTC 2025","TestRegistration","test_registration","",""
"","7103","Registration with various data: chromium-sql_injection_data","tests","Fri Oct 03 01:45:07 UTC 2025","failed","Fri Oct 03 01:45:14 UTC 2025","TestRegistration","test_registration","",""
"","6138","Registration with various data: chromium-with_space_data","tests","Fri Oct 03 01:44:23 UTC 2025","passed","Fri Oct 03 01:44:29 UTC 2025","TestRegistration","test_registration","",""
"","5316","Registration with correct data and without user agreement","tests","Fri Oct 03 01:44:49 UTC 2025","passed","Fri Oct 03 01:44:55 UTC 2025","TestRegistration","test_registration","",""
"","3712","Registration with various data: chromium-with_max_number","tests","Fri Oct 03 01:44:55 UTC 2025","passed","Fri Oct 03 01:44:58 UTC 2025","TestRegistration","test_registration","",""
"","11571","Registration with various data: chromium-cross_script_data","tests","Fri Oct 03 01:44:50 UTC 2025","failed","Fri Oct 03 01:45:02 UTC 2025","TestRegistration","test_registration","",""
"","3347","Registration with various data: chromium-empty_data","tests","Fri Oct 03 01:45:00 UTC 2025","passed","Fri Oct 03 01:45:03 UTC 2025","TestRegistration","test_registration","",""
"","3888","Registration with various data: chromium-with_hyphen","tests","Fri Oct 03 01:44:57 UTC 2025","passed","Fri Oct 03 01:45:01 UTC 2025","TestRegistration","test_registration","",""
"","5436","Registration with various data: chromium-max_count","tests","Fri Oct 03 01:44:23 UTC 2025","passed","Fri Oct 03 01:44:29 UTC 2025","TestRegistration","test_registration","",""
"","6488","Registration with various data: chromium-max_count_and_one","tests","Fri Oct 03 01:44:23 UTC 2025","passed","Fri Oct 03 01:44:30 UTC 2025","TestRegistration","test_registration","",""
"","5741","Registration with various data: chromium-hebrew_data","tests","Fri Oct 03 01:44:24 UTC 2025","passed","Fri Oct 03 01:44:30 UTC 2025","TestRegistration","test_registration","",""
