"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10770","Registration with various data: chromium-cross_script_data","tests","Fri Sep 19 01:47:40 UTC 2025","failed","Fri Sep 19 01:47:51 UTC 2025","TestRegistration","test_registration","",""
"","7208","Registration with various data: chromium-max_count","tests","Fri Sep 19 01:47:14 UTC 2025","passed","Fri Sep 19 01:47:21 UTC 2025","TestRegistration","test_registration","",""
"","6488","Registration with various data: chromium-hebrew_data","tests","Fri Sep 19 01:47:12 UTC 2025","passed","Fri Sep 19 01:47:19 UTC 2025","TestRegistration","test_registration","",""
"","3189","Registration with various data: chromium-empty_data","tests","Fri Sep 19 01:47:50 UTC 2025","passed","Fri Sep 19 01:47:53 UTC 2025","TestRegistration","test_registration","",""
"","3992","Registration with various data: chromium-with_hyphen","tests","Fri Sep 19 01:47:46 UTC 2025","passed","Fri Sep 19 01:47:50 UTC 2025","TestRegistration","test_registration","",""
"","5634","Registration with various data: chromium-max_count_and_one","tests","Fri Sep 19 01:47:21 UTC 2025","passed","Fri Sep 19 01:47:26 UTC 2025","TestRegistration","test_registration","",""
"","3756","Registration with various data: chromium-with_max_number","tests","Fri Sep 19 01:47:41 UTC 2025","passed","Fri Sep 19 01:47:45 UTC 2025","TestRegistration","test_registration","",""
"","6108","Registration with various data: chromium-sql_injection_data","tests","Fri Sep 19 01:48:02 UTC 2025","failed","Fri Sep 19 01:48:08 UTC 2025","TestRegistration","test_registration","",""
"","6650","Registration with various data: chromium-with_space_data","tests","Fri Sep 19 01:47:16 UTC 2025","passed","Fri Sep 19 01:47:23 UTC 2025","TestRegistration","test_registration","",""
"","11009","Registration with various data: chromium-invalid_data","tests","Fri Sep 19 01:47:13 UTC 2025","failed","Fri Sep 19 01:47:24 UTC 2025","TestRegistration","test_registration","",""
"","3607","Registration with correct data and without user agreement","tests","Fri Sep 19 01:47:48 UTC 2025","passed","Fri Sep 19 01:47:52 UTC 2025","TestRegistration","test_registration","",""
