"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10305","Registration with various data: chromium-invalid_data","tests","2026-09-11","failed","2026-09-11","TestRegistration","test_registration","",""
"","4011","Registration with various data: chromium-empty_data","tests","2026-09-11","passed","2026-09-11","TestRegistration","test_registration","",""
"","4239","Registration with various data: chromium-max_count","tests","2026-09-11","passed","2026-09-11","TestRegistration","test_registration","",""
"","1848","Registration with correct data and without user agreement","tests","2026-09-11","passed","2026-09-11","TestRegistration","test_registration","",""
"","5718","Registration with various data: chromium-max_count_and_one","tests","2026-09-11","passed","2026-09-11","TestRegistration","test_registration","",""
"","5487","Registration with various data: chromium-hebrew_data","tests","2026-09-11","passed","2026-09-11","TestRegistration","test_registration","",""
"","5737","Registration with various data: chromium-with_hyphen","tests","2026-09-11","passed","2026-09-11","TestRegistration","test_registration","",""
"","7662","Registration with various data: chromium-cross_script_data","tests","2026-09-11","failed","2026-09-11","TestRegistration","test_registration","",""
"","6138","Registration with various data: chromium-sql_injection_data","tests","2026-09-11","failed","2026-09-11","TestRegistration","test_registration","",""
"","4635","Registration with various data: chromium-with_max_number","tests","2026-09-11","passed","2026-09-11","TestRegistration","test_registration","",""
"","2078","Registration with various data: chromium-with_space_data","tests","2026-09-11","passed","2026-09-11","TestRegistration","test_registration","",""
