"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10107","Registration with various data: chromium-invalid_data","tests","Sun Jan 25 02:23:51 UTC 2026","failed","Sun Jan 25 02:24:01 UTC 2026","TestRegistration","test_registration","",""
"","2772","Registration with various data: chromium-with_space_data","tests","Sun Jan 25 02:24:18 UTC 2026","passed","Sun Jan 25 02:24:21 UTC 2026","TestRegistration","test_registration","",""
"","3694","Registration with various data: chromium-empty_data","tests","Sun Jan 25 02:24:14 UTC 2026","passed","Sun Jan 25 02:24:17 UTC 2026","TestRegistration","test_registration","",""
"","4685","Registration with various data: chromium-hebrew_data","tests","Sun Jan 25 02:23:52 UTC 2026","passed","Sun Jan 25 02:23:56 UTC 2026","TestRegistration","test_registration","",""
"","3928","Registration with various data: chromium-max_count","tests","Sun Jan 25 02:24:15 UTC 2026","passed","Sun Jan 25 02:24:19 UTC 2026","TestRegistration","test_registration","",""
"","5563","Registration with various data: chromium-sql_injection_data","tests","Sun Jan 25 02:24:27 UTC 2026","failed","Sun Jan 25 02:24:33 UTC 2026","TestRegistration","test_registration","",""
"","1956","Registration with correct data and without user agreement","tests","Sun Jan 25 02:24:19 UTC 2026","passed","Sun Jan 25 02:24:21 UTC 2026","TestRegistration","test_registration","",""
"","3787","Registration with various data: chromium-with_max_number","tests","Sun Jan 25 02:24:16 UTC 2026","passed","Sun Jan 25 02:24:19 UTC 2026","TestRegistration","test_registration","",""
"","4658","Registration with various data: chromium-max_count_and_one","tests","Sun Jan 25 02:23:53 UTC 2026","passed","Sun Jan 25 02:23:57 UTC 2026","TestRegistration","test_registration","",""
"","9950","Registration with various data: chromium-cross_script_data","tests","Sun Jan 25 02:23:51 UTC 2026","failed","Sun Jan 25 02:24:01 UTC 2026","TestRegistration","test_registration","",""
"","4949","Registration with various data: chromium-with_hyphen","tests","Sun Jan 25 02:23:52 UTC 2026","passed","Sun Jan 25 02:23:57 UTC 2026","TestRegistration","test_registration","",""
