"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6414","Registration with various data: chromium-sql_injection_data","tests","Tue Oct 21 01:51:06 UTC 2025","failed","Tue Oct 21 01:51:13 UTC 2025","TestRegistration","test_registration","",""
"","5877","Registration with various data: chromium-max_count","tests","Tue Oct 21 01:50:26 UTC 2025","passed","Tue Oct 21 01:50:32 UTC 2025","TestRegistration","test_registration","",""
"","12172","Registration with various data: chromium-invalid_data","tests","Tue Oct 21 01:50:25 UTC 2025","failed","Tue Oct 21 01:50:37 UTC 2025","TestRegistration","test_registration","",""
"","4837","Registration with correct data and without user agreement","tests","Tue Oct 21 01:50:54 UTC 2025","passed","Tue Oct 21 01:50:59 UTC 2025","TestRegistration","test_registration","",""
"","5431","Registration with various data: chromium-max_count_and_one","tests","Tue Oct 21 01:50:27 UTC 2025","passed","Tue Oct 21 01:50:32 UTC 2025","TestRegistration","test_registration","",""
"","6316","Registration with various data: chromium-with_space_data","tests","Tue Oct 21 01:50:26 UTC 2025","passed","Tue Oct 21 01:50:32 UTC 2025","TestRegistration","test_registration","",""
"","1970","Registration with various data: chromium-empty_data","tests","Tue Oct 21 01:50:59 UTC 2025","passed","Tue Oct 21 01:51:00 UTC 2025","TestRegistration","test_registration","",""
"","5038","Registration with various data: chromium-with_hyphen","tests","Tue Oct 21 01:50:52 UTC 2025","passed","Tue Oct 21 01:50:57 UTC 2025","TestRegistration","test_registration","",""
"","5203","Registration with various data: chromium-hebrew_data","tests","Tue Oct 21 01:50:28 UTC 2025","passed","Tue Oct 21 01:50:33 UTC 2025","TestRegistration","test_registration","",""
"","9935","Registration with various data: chromium-cross_script_data","tests","Tue Oct 21 01:50:52 UTC 2025","failed","Tue Oct 21 01:51:02 UTC 2025","TestRegistration","test_registration","",""
"","4503","Registration with various data: chromium-with_max_number","tests","Tue Oct 21 01:50:52 UTC 2025","passed","Tue Oct 21 01:50:56 UTC 2025","TestRegistration","test_registration","",""
