"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5709","Registration with various data: chromium-max_count_and_one","tests","2026-08-23","passed","2026-08-23","TestRegistration","test_registration","",""
"","5652","Registration with various data: chromium-sql_injection_data","tests","2026-08-23","failed","2026-08-23","TestRegistration","test_registration","",""
"","3774","Registration with various data: chromium-empty_data","tests","2026-08-23","passed","2026-08-23","TestRegistration","test_registration","",""
"","10081","Registration with various data: chromium-invalid_data","tests","2026-08-23","failed","2026-08-23","TestRegistration","test_registration","",""
"","3637","Registration with various data: chromium-with_hyphen","tests","2026-08-23","passed","2026-08-23","TestRegistration","test_registration","",""
"","565","Registration with correct data and without user agreement","tests","2026-08-23","passed","2026-08-23","TestRegistration","test_registration","",""
"","10149","Registration with various data: chromium-cross_script_data","tests","2026-08-23","failed","2026-08-23","TestRegistration","test_registration","",""
"","3394","Registration with various data: chromium-max_count","tests","2026-08-23","passed","2026-08-23","TestRegistration","test_registration","",""
"","5170","Registration with various data: chromium-hebrew_data","tests","2026-08-23","passed","2026-08-23","TestRegistration","test_registration","",""
"","3725","Registration with various data: chromium-with_max_number","tests","2026-08-23","passed","2026-08-23","TestRegistration","test_registration","",""
"","1707","Registration with various data: chromium-with_space_data","tests","2026-08-23","passed","2026-08-23","TestRegistration","test_registration","",""
