"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3968","Registration with correct data and without user agreement","tests","Thu Jun 12 01:57:32 GMT 2025","passed","Thu Jun 12 01:57:36 GMT 2025","TestRegistration","test_registration","",""
"","4955","Registration with various data: chromium-with_hyphen","tests","Thu Jun 12 01:57:30 GMT 2025","passed","Thu Jun 12 01:57:35 GMT 2025","TestRegistration","test_registration","",""
"","8562","Registration with various data: chromium-empty_data","tests","Thu Jun 12 01:57:27 GMT 2025","passed","Thu Jun 12 01:57:36 GMT 2025","TestRegistration","test_registration","",""
"","6153","Registration with various data: chromium-cross_script_data","tests","Thu Jun 12 01:57:30 GMT 2025","passed","Thu Jun 12 01:57:36 GMT 2025","TestRegistration","test_registration","",""
"","7491","Registration with various data: chromium-max_count","tests","Thu Jun 12 01:57:03 GMT 2025","passed","Thu Jun 12 01:57:10 GMT 2025","TestRegistration","test_registration","",""
"","6354","Registration with various data: chromium-max_count_and_one","tests","Thu Jun 12 01:57:05 GMT 2025","passed","Thu Jun 12 01:57:11 GMT 2025","TestRegistration","test_registration","",""
"","5603","Registration with various data: chromium-with_max_number","tests","Thu Jun 12 01:57:29 GMT 2025","passed","Thu Jun 12 01:57:35 GMT 2025","TestRegistration","test_registration","",""
"","6446","Registration with various data: chromium-with_space_data","tests","Thu Jun 12 01:57:04 GMT 2025","passed","Thu Jun 12 01:57:11 GMT 2025","TestRegistration","test_registration","",""
"","1279","Registration with various data: chromium-sql_injection_data","tests","Thu Jun 12 01:57:42 GMT 2025","passed","Thu Jun 12 01:57:44 GMT 2025","TestRegistration","test_registration","",""
"","8042","Registration with various data: chromium-invalid_data","tests","Thu Jun 12 01:57:03 GMT 2025","passed","Thu Jun 12 01:57:11 GMT 2025","TestRegistration","test_registration","",""
"","6260","Registration with various data: chromium-hebrew_data","tests","Thu Jun 12 01:57:03 GMT 2025","passed","Thu Jun 12 01:57:10 GMT 2025","TestRegistration","test_registration","",""
